frame_id,time_sec,brand,class_id,confidence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,share_of_screen
6,0.12,okx,7,0.5408293604850769,918.709228515625,675.03466796875,939.6680297851562,690.5686645507812,20.95880126953125,15.53399658203125,325.5739440917969,0.0001570090389577672
12,0.24,petronas,9,0.45219939947128296,1038.405029296875,632.5845336914062,1074.722900390625,638.1498413085938,36.31787109375,5.5653076171875,202.1201171875,9.7473050118424e-05
18,0.36,okx,7,0.48148593306541443,769.0457153320312,684.4536743164062,790.3604736328125,691.6019287109375,21.31475830078125,7.14825439453125,152.36331176757812,7.347767677856609e-05
24,0.48,petronas,9,0.4904855191707611,1043.89404296875,636.55126953125,1104.6026611328125,642.236572265625,60.7086181640625,5.685302734375,345.1468811035156,0.00016644815332256258
30,0.6,okx,7,0.5302491188049316,815.2115478515625,689.108642578125,842.290771484375,698.1638793945312,27.0792236328125,9.05523681640625,245.2087860107422,0.0001182526902994141
30,0.6,petronas,9,0.4089832603931427,1045.8162841796875,638.2276611328125,1113.1512451171875,643.5939331054688,67.3349609375,5.36627197265625,361.33770751953125,0.0001742562308209017
36,0.72,okx,7,0.5036692023277283,770.0502319335938,690.381591796875,798.6918334960938,698.3324584960938,28.6416015625,7.95086669921875,227.72555541992188,0.00010982135427184403
42,0.84,okx,7,0.44793376326560974,816.6284790039062,691.7305297851562,838.9000244140625,699.9767456054688,22.27154541015625,8.2462158203125,183.65597534179688,8.856866043061018e-05
42,0.84,okx,7,0.4317936897277832,773.6829223632812,691.150390625,801.1539916992188,699.39404296875,27.4710693359375,8.24365234375,226.46194458007812,0.00010921197099378332
48,0.96,okx,7,0.5493404269218445,816.2921752929688,691.6527709960938,839.2644653320312,699.0960083007812,22.9722900390625,7.4432373046875,170.9882049560547,8.245959179475904e-05
48,0.96,okx,7,0.47446921467781067,771.409423828125,693.303955078125,799.8291015625,700.9774780273438,28.419677734375,7.67352294921875,218.0790557861328,0.00010516929614823312
54,1.08,okx,7,0.49664145708084106,769.9845581054688,696.282470703125,798.7515258789062,704.10693359375,28.7669677734375,7.824462890625,225.08607482910156,0.0001085484545910731
54,1.08,okx,7,0.46750006079673767,815.333740234375,694.2252807617188,838.6149291992188,701.962890625,23.28118896484375,7.73760986328125,180.14076232910156,8.687343506608158e-05
60,1.2,okx,7,0.4566003680229187,766.8587646484375,699.4757080078125,795.62109375,707.8434448242188,28.7623291015625,8.36773681640625,240.67559814453125,0.00011606654879869893
60,1.2,okx,7,0.4007676839828491,833.4534301757812,706.373291015625,862.1954956054688,715.6222534179688,28.7420654296875,9.24896240234375,265.83428955078125,0.00012819940457120538
66,1.32,okx,7,0.5186368823051453,762.2720947265625,702.3973999023438,789.7247314453125,710.9097290039062,27.45263671875,8.5123291015625,233.68588256835938,0.00011269573587924242
72,1.44,okx,7,0.44525131583213806,768.09375,703.2921142578125,792.2623901367188,711.8101196289062,24.16864013671875,8.51800537109375,205.8686065673828,9.928076906362548e-05
72,1.44,okx,7,0.4119092524051666,867.564453125,690.2685546875,890.8640747070312,697.5889282226562,23.29962158203125,7.32037353515625,170.5619354248047,8.22540168883279e-05
78,1.56,okx,7,0.4790290892124176,756.89599609375,709.1791381835938,786.2039794921875,718.4559326171875,29.3079833984375,9.27679443359375,271.8841247558594,0.00013111696171108633
84,1.68,okx,7,0.5408976674079895,757.4407348632812,711.4238891601562,787.5789794921875,719.8909912109375,30.13824462890625,8.46710205078125,255.18359375,0.00012306307326070964
90,1.8,okx,7,0.5261464715003967,756.9080200195312,713.7713012695312,786.6454467773438,722.9466552734375,29.7374267578125,9.17535400390625,272.8514099121094,0.00013158343790564686
90,1.8,okx,7,0.412540078163147,858.2850341796875,697.9761962890625,883.7614135742188,705.505126953125,25.47637939453125,7.5289306640625,191.8098907470703,9.250091534340754e-05
96,1.92,okx,7,0.4402243494987488,757.85400390625,715.9905395507812,788.874267578125,725.5346069335938,31.020263671875,9.5440673828125,296.0594787597656,0.00014277559239417315
96,1.92,okx,7,0.42446041107177734,787.526123046875,715.5681762695312,815.876220703125,724.0872192382812,28.35009765625,8.51904296875,241.5157012939453,0.00011647169594652951
102,2.04,okx,7,0.5246610641479492,790.6676635742188,716.4562377929688,816.0667724609375,724.1253662109375,25.39910888671875,7.66912841796875,194.78903198242188,9.393761138198897e-05
102,2.04,okx,7,0.43976062536239624,755.7510375976562,718.950439453125,783.3051147460938,728.1972045898438,27.5540771484375,9.24676513671875,254.7860870361328,0.00012287138088140637
108,2.16,okx,7,0.4787900149822235,789.4081420898438,718.4056396484375,815.65673828125,726.5985107421875,26.24859619140625,8.19287109375,215.05136108398438,0.00010370918607804924
108,2.16,petronas,9,0.44462186098098755,1041.40283203125,668.318359375,1117.666015625,674.4754638671875,76.26318359375,6.1571044921875,469.5603942871094,0.00022644695127382874
108,2.16,okx,7,0.4420904517173767,752.6639404296875,721.9618530273438,782.449951171875,731.271484375,29.7860107421875,9.30963134765625,277.2967834472656,0.00013372722605708987
114,2.28,okx,7,0.4488884210586548,761.9224853515625,725.31884765625,791.4230346679688,735.8268432617188,29.50054931640625,10.50799560546875,309.99163818359375,0.00014949442993383855
114,2.28,petronas,9,0.40736711025238037,1030.5611572265625,670.0593872070312,1076.7335205078125,675.6705322265625,46.17236328125,5.61114501953125,259.079833984375,0.00012494204565882683
120,2.4,okx,7,0.4587114155292511,790.2815551757812,725.515380859375,814.8173217773438,732.7018432617188,24.5357666015625,7.18646240234375,176.3253631591797,8.50334472488612e-05
120,2.4,petronas,9,0.4215061366558075,1030.2529296875,672.1432495117188,1072.948486328125,677.292724609375,42.695556640625,5.14947509765625,219.85971069335938,0.00010602802649373189
120,2.4,okx,7,0.4145803153514862,755.5015869140625,727.0153198242188,783.0505981445312,735.8789672851562,27.54901123046875,8.8636474609375,244.18472290039062,0.0001177588346763514
126,2.52,okx,7,0.44893205165863037,790.661865234375,727.717529296875,814.627197265625,734.6093139648438,23.96533203125,6.89178466796875,165.16390991210938,7.965080294525251e-05
126,2.52,petronas,9,0.4379192590713501,1034.3851318359375,673.335693359375,1085.0643310546875,678.6173706054688,50.67919921875,5.28167724609375,267.6711730957031,0.0001290852524107322
132,2.64,okx,7,0.4415968060493469,748.3151245117188,730.4461059570312,778.3062133789062,738.3173828125,29.9910888671875,7.87127685546875,236.0681610107422,0.00011384460231056437
132,2.64,okx,7,0.41592976450920105,788.6193237304688,728.3865356445312,813.9337768554688,735.7869873046875,25.314453125,7.40045166015625,187.33839416503906,9.034451795741916e-05
138,2.76,okx,7,0.4272708296775818,790.3380126953125,731.4153442382812,815.8321533203125,739.1648559570312,25.494140625,7.74951171875,197.567138671875,9.527736256131902e-05
138,2.76,okx,7,0.4196245074272156,755.8245239257812,732.1470947265625,787.6921997070312,740.6964721679688,31.86767578125,8.54937744140625,272.44879150390625,0.00013138927170075476
144,2.88,okx,7,0.4318859875202179,791.1283569335938,731.3555297851562,817.8052368164062,739.64501953125,26.6768798828125,8.28948974609375,221.13772583007812,0.00010664435103535652
150,3.0,okx,7,0.49624261260032654,795.9583129882812,734.1008911132812,821.4810791015625,741.8031005859375,25.52276611328125,7.70220947265625,196.58169555664062,9.480212611379102e-05
156,3.12,okx,7,0.4391419589519501,851.7425537109375,725.8049926757812,876.5342407226562,732.2676391601562,24.79168701171875,6.462646484375,160.21990966796875,7.726654439466074e-05
156,3.12,okx,7,0.4378618896007538,802.0656127929688,735.8463134765625,828.3878784179688,743.0110473632812,26.322265625,7.16473388671875,188.59202575683594,9.094908455153927e-05
156,3.12,petronas,9,0.4255805015563965,1026.6915283203125,682.6646728515625,1073.234619140625,688.7667236328125,46.5430908203125,6.10205078125,284.00830078125,0.00013696387759409845
162,3.24,okx,7,0.4414500594139099,779.552734375,741.8421020507812,813.6566162109375,750.5317993164062,34.1038818359375,8.689697265625,296.3524169921875,0.00014291686238721013
162,3.24,okx,7,0.4028477668762207,848.688232421875,726.1993408203125,873.9122924804688,733.6317138671875,25.22406005859375,7.432373046875,187.47462463378906,9.041021985467523e-05
168,3.36,okx,7,0.4421699643135071,785.30322265625,743.5732421875,816.0401611328125,752.159423828125,30.7369384765625,8.586181640625,263.9129333496094,0.00012727282592095435
168,3.36,okx,7,0.4262091815471649,853.0711669921875,729.1666870117188,879.9742431640625,736.6200561523438,26.903076171875,7.453369140625,200.5185546875,9.67006926657632e-05
174,3.48,petronas,9,0.48923859000205994,1033.1068115234375,691.3493041992188,1081.03857421875,697.5736694335938,47.9317626953125,6.224365234375,298.34478759765625,0.00014387769624590874
180,3.6,petronas,9,0.4948514997959137,1034.666259765625,690.5582885742188,1083.32958984375,696.5052490234375,48.663330078125,5.94696044921875,289.3988952636719,0.00013956350449007004
186,3.72,petronas,9,0.5552212595939636,1029.3731689453125,686.7593994140625,1077.2303466796875,692.8576049804688,47.857177734375,6.09820556640625,291.8428955078125,0.00014074213686399162
186,3.72,okx,7,0.45165562629699707,849.21728515625,729.5478515625,875.7941284179688,737.0579833984375,26.57684326171875,7.5101318359375,199.59559631347656,9.625559323467314e-05
192,3.84,petronas,9,0.6278705596923828,1032.53466796875,680.5895385742188,1083.639892578125,686.2962036132812,51.105224609375,5.7066650390625,291.6404113769531,0.00014064449351280928
192,3.84,okx,7,0.46464109420776367,843.7101440429688,724.3953857421875,870.738525390625,731.7693481445312,27.02838134765625,7.37396240234375,199.3062744140625,9.611606947146356e-05
