brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
atlasian,1036,933,0.6218546100795039,0.02255283610762511,0.5146960616111755,23.364738207499613,186.6,4.208359217682846,2.616987580386652
okx,4575,3524,0.6898567476819774,0.0032079805288207147,0.0868367999792099,14.676510919354769,704.8,2.2609846767128396,1.5597555356359065
oracle,2089,2023,0.709071028184069,0.004180997381514245,0.0639040395617485,8.734103529983258,404.6,1.6916315405606637,1.1994869157739503
hp,6441,3120,0.7979188969769735,0.0018216497090940845,0.016059711575508118,11.733245776274998,624.0,1.1367094184747086,0.9070019253726764
petronas,4069,2881,0.6322327644973225,0.0023301812712102255,0.06454438716173172,9.481507592554408,576.2,1.342650448471332,0.8488676047906
moneygram,808,422,0.7505495379688126,0.006581373730001576,0.025229038670659065,5.3177499738412735,84.4,0.5554679428121331,0.4169062078341333
aramco,1359,846,0.6775231652175617,0.003235839807512883,0.07164385169744492,4.397506298410008,169.2,0.5475040954311797,0.3709467077061109
bwt,1390,870,0.6451643232818988,0.0025557004018743664,0.04578908905386925,3.552423558605369,174.0,0.44469186992613974,0.2868993293298601
kick,343,319,0.5926323667733384,0.002975890213516646,0.07182542234659195,1.0207303432362096,63.8,0.189861795622362,0.11251824529951625
capp,544,529,0.5659908626557273,0.0010063125954168166,0.040517810732126236,0.5474340519067482,105.8,0.1064678725950992,0.06025984305522026
