brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
okx,1093,831,0.6921796892230269,0.00281641140376557,0.04433968663215637,3.078337664315768,83.1,0.23404378765291886,0.16200035620217748
oracle,375,351,0.7205899520715078,0.00485166219175638,0.04838496074080467,1.8193733219086425,35.1,0.17029334293064896,0.12271167182049317
petronas,597,432,0.5883385908463892,0.0020209934080037727,0.056385140866041183,1.2065330645782524,43.2,0.08730691522576299,0.05136602747507056
atlasian,126,120,0.6287407976767373,0.006595463803803016,0.20651286840438843,0.83102843927918,12.0,0.07914556564563618,0.04976204607661387
bwt,790,363,0.666636592526979,0.0017242389726412006,0.04567309096455574,1.3621487883865484,36.3,0.06258987470687558,0.041724700801282086
aramco,166,124,0.6501326887722475,0.003429619815440411,0.029286975041031837,0.5693168893631082,12.4,0.042527285711461096,0.027648378605777787
hp,448,276,0.6307910419335323,0.0007059307592791291,0.006222447380423546,0.31625698015704984,27.6,0.019483688956103962,0.012290136457329674
kick,60,59,0.5463274886210759,0.0035884205114901607,0.03854171559214592,0.21530523068940965,5.9,0.02117168101779195,0.01156667132033678
capp,50,49,0.560682218670845,0.0029658856068272145,0.04641331732273102,0.14829428034136072,4.9,0.014532839473453352,0.00814830467956306
moneygram,18,18,0.555897624956237,0.0026575059556408734,0.009843196719884872,0.04783510720153572,1.8,0.0047835107201535726,0.00265914224828607
