epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/aramco,val/AP/atlasian,val/AP/bwt,val/AP/capp,val/AP/hp,val/AP/kick,val/AP/moneygram,val/AP/okx,val/AP/oracle,val/AP/petronas,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,
0,54,,,,,,,,,,,,,,,,,,,,,,0.0,1.6209332898142748e-05,0.08944405615329742,0.0,0.2660602927207947,0.0007661480340175331,0.19017161428928375,0.13037867844104767,0.1805330514907837,0.06087203323841095,0.16999095678329468,0.13853870332241058,0.09094613045454025,0.23709692060947418,7.568176746368408,0.1364845484495163,0.09182421118021011,0.09477658569812775,0.2343294769525528,0.22438311576843262,0.15230365097522736
0,54,3830.16259765625,3850.810302734375,3840.28076171875,3816.980712890625,69.09010314941406,8.660208702087402,0.03869045525789261,0.042000770568847656,0.040620289742946625,0.04666299372911453,0.7952627539634705,0.7744303345680237,0.7832013368606567,0.751451849937439,0.5712922811508179,0.5919292569160461,0.5795240998268127,0.6152480840682983,,,,,,,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,
1,109,,,,,,,,,,,,,,,,,,,,,,0.0,0.0001163043052656576,0.2517186999320984,0.10297029465436935,0.2708950936794281,0.0248617772012949,0.4102705121040344,0.21850712597370148,0.3232126235961914,0.05409323796629906,0.26302045583724976,0.27050402760505676,0.17147758603096008,0.3090257942676544,7.012908458709717,0.26782938838005066,0.16566456854343414,0.16880708932876587,0.3030449450016022,0.3102242350578308,0.2513265013694763
1,109,3826.227294921875,3847.91357421875,3860.179443359375,3838.953369140625,44.39353561401367,7.235211372375488,0.01960248500108719,0.021070269867777824,0.020241746678948402,0.023459503427147865,0.7957864999771118,0.7942759990692139,0.7874680757522583,0.7700380086898804,0.4444279670715332,0.45705103874206543,0.4486342668533325,0.4827735424041748,,,,,,,,,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,
2,164,,,,,,,,,,,,,,,,,,,,,,0.13265560567378998,0.0021435737144201994,0.2825239300727844,0.07722771912813187,0.29284393787384033,0.06707123667001724,0.4548666477203369,0.23759055137634277,0.435474157333374,0.09137839078903198,0.3395185172557831,0.36559972167015076,0.21214400231838226,0.34232738614082336,6.671901226043701,0.36224547028541565,0.2073775827884674,0.20569880306720734,0.333079069852829,0.5501782298088074,0.2807861566543579
2,164,3662.05224609375,3768.7158203125,3828.681884765625,3793.15673828125,31.62920379638672,6.746391296386719,0.017215058207511902,0.018119007349014282,0.01750168949365616,0.020328359678387642,0.7304394841194153,0.751408576965332,0.7359309792518616,0.7386560440063477,0.4191800653934479,0.42391908168792725,0.4200902283191681,0.44887733459472656,,,,,,,,,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,
3,219,,,,,,,,,,,,,,,,,,,,,,0.22728024423122406,0.0022895338479429483,0.39497843384742737,0.0,0.2906533479690552,0.09822813421487808,0.4914494454860687,0.25670385360717773,0.4696376621723175,0.14558281004428864,0.41654297709465027,0.3969392478466034,0.2412627786397934,0.33717119693756104,6.511692523956299,0.3942755162715912,0.2376803457736969,0.23371735215187073,0.332607239484787,0.6440128087997437,0.3639070987701416
