model,mAP@50,mAP@50:95,precision,recall,f1
RF-DETR Small,0.5238329113383189,0.3000992254081931,0.7980295566502463,0.5934065934065934,0.680672268907563
YOLO11s,0.5650945411119219,0.3315601550482969,0.7044721593245935,0.504800950281613,0.5881520272782712
